#tiré du fichier Gnumeric TALDICE
#ztop (m)	d18O (pm)	deut	Bintanja Isotot
665	-36.29	-277.38839868789	1.39251774304359
666	-36.99	-282.931496832711	1.39035199148443
667	-36.28	-276.972561186844	1.38846738549712
668	-37.08	-283.300494995911	1.38665495044278
669	-36.52	-279.235868408178	1.38537279903558
670	-36.37	-278.260426589333	1.38385787551167
671	-35.52	-271.563747726933	1.38252284263568
672	-37.74	-290.118328386133	1.38127839625718
673	-36.15	-277.369602353778	1.38023403522167
674	-36.28	-278.441573762844	1.37941919684614
675	-36.87	-283.181003761778	1.37863668464892
676	-36.27	-278.379729355378	1.37797344597444
677	-37.65	-289.372225360533	1.37731723679224
678	-36.27	-278.542883859911	1.3764294460475
679	-35.76	-275.587928836978	1.37567392259353
680	-36.81	-284.003575275378	1.37488063684964
681	-36.80	-282.774765555911	1.37383547302951
682	-36.68	-281.122314377244	1.37275320955299
683	-37.48	-287.533081178311	1.3715886360307
684	-37.15	-284.341996764444	1.37045345316729
685	-37.78	-289.012432813511	1.36937292707477
686	-37.26	-284.886210157511	1.36837661826786
687	-37.29	-285.095177340444	1.36727140572884
688	-37.07	-283.379929080533	1.36573880651045
689	-36.24	-277.0055954	1.36389278458694
690	-37.82	-289.698350568533	1.36208341782858
691	-37.53	-286.667305457778	1.35993511305189
692	-37.91	-289.312835908978	1.35788958938824
693	-36.56	-278.591403335111	1.35571894285544
694	-37.47	-287.292111394844	1.35291641620337
695	-37.26	-285.540418168178	1.35010422782276
696	-37.88	-290.512725988267	1.34710350003527
697	-37.84	-290.191211132444	1.34291189565636
698	-38.21	-292.905553440711	1.33916008900998
699	-38.43	-293.512618012444	1.33502853523818
700	-38.82	-296.638087753244	1.33118760934979
701	-37.74	-287.6573480944	1.32715872751554
702	-38.17	-288.3827462336	1.32368629300296
703	-37.38	-282.0485670784	1.31996586020572
704	-38.61	-294.5861206688	1.31646046074486
705	-38.55	-295.780768808533	1.31259035235569
706	-38.39	-294.494888676267	1.3084374772768
707	-38.37	-294.3234740256	1.30453865822933
708	-38.73	-297.2004055184	1.30054134291673
709	-38.83	-297.217598456	1.29685092712617
710	-38.15	-291.267638020267	1.29260337026822
711	-38.77	-296.9996182	1.28831640311257
